ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_symbols
GO:0007249,canonical NF-kappaB signal transduction,Nov-97,339/18842,0.032448378,6.303013715,7.087558305,1.36E-06,5.31E-05,3.87E-05,330/79931/10346/10135/1236/3656/602/24138/958/7422/3554,11,BIRC3/TNIP3/TRIM22/NAMPT/CCR7/IRAK2/BCL3/IFIT5/CD40/VEGFA/IL1R1
GO:0071674,mononuclear cell migration,Sep-97,212/18842,0.04245283,8.24635285,7.632663217,1.48E-06,5.67E-05,4.13E-05,6373/3627/3690/1236/6351/10563/6364/6347/1843,9,CXCL11/CXCL10/ITGB3/CCR7/CCL4/CXCL13/CCL20/CCL2/DUSP1
GO:2000403,positive regulation of lymphocyte migration,May-97,39/18842,0.128205128,24.90351573,10.74918733,1.63E-06,6.12E-05,4.46E-05,3627/3690/6351/10563/6364,5,CXCL10/ITGB3/CCL4/CXCL13/CCL20
GO:0001819,positive regulation of cytokine production,13/97,499/18842,0.026052104,5.060554098,6.612954129,1.65E-06,6.12E-05,4.46E-05,9636/9235/1236/3665/29126/64135/3586/5142/8013/4939/10148/941/3554,13,ISG15/IL32/CCR7/IRF7/CD274/IFIH1/IL10/PDE4B/NR4A3/OAS2/EBI3/CD80/IL1R1
GO:0070372,regulation of ERK1 and ERK2 cascade,Oct-97,283/18842,0.035335689,6.863866526,7.149820318,1.98E-06,7.22E-05,5.26E-05,6714/10135/467/3690/3624/1236/3084/57007/1843/7422,10,SRC/NAMPT/ATF3/ITGB3/INHBA/CCR7/NRG1/ACKR3/DUSP1/VEGFA
GO:0070555,response to interleukin-1,Jul-97,115/18842,0.060869565,11.82375616,8.375060142,2.14E-06,7.67E-05,5.59E-05,6714/3656/958/6347/3576/3554/8564,7,SRC/IRAK2/CD40/CCL2/CXCL8/IL1R1/KMO
GO:0050673,epithelial cell proliferation,Nov-97,356/18842,0.030898876,6.002027105,6.85400923,2.19E-06,7.71E-05,5.62E-05,1960/374/3690/54567/654/283131/6347/3586/8013/3164/7422,11,EGR3/AREG/ITGB3/DLL4/BMP6/NEAT1/CCL2/IL10/NR4A3/NR4A1/VEGFA
GO:1903037,regulation of leukocyte cell-cell adhesion,Nov-97,359/18842,0.030640669,5.95187089,6.814365514,2.37E-06,8.08E-05,5.89E-05,6714/1236/29126/259307/6347/3586/7412/8013/10148/941/3456,11,SRC/CCR7/CD274/IL4I1/CCL2/IL10/VCAM1/NR4A3/EBI3/CD80/IFNB1
GO:0032609,type II interferon production,Jul-97,117/18842,0.05982906,11.62164067,8.290271288,2.41E-06,8.08E-05,5.89E-05,9636/3624/1236/29126/5142/10148/3554,7,ISG15/INHBA/CCR7/CD274/PDE4B/EBI3/IL1R1
GO:0032649,regulation of type II interferon production,Jul-97,117/18842,0.05982906,11.62164067,8.290271288,2.41E-06,8.08E-05,5.89E-05,9636/3624/1236/29126/5142/10148/3554,7,ISG15/INHBA/CCR7/CD274/PDE4B/EBI3/IL1R1
GO:0043123,positive regulation of canonical NF-kappaB signal transduction,Sep-97,226/18842,0.039823009,7.735516832,7.327858588,2.51E-06,8.30E-05,6.04E-05,330/10346/10135/1236/3656/24138/958/7422/3554,9,BIRC3/TRIM22/NAMPT/CCR7/IRAK2/IFIT5/CD40/VEGFA/IL1R1
GO:0001936,regulation of endothelial cell proliferation,Aug-97,169/18842,0.047337278,9.195144269,7.69817938,2.60E-06,8.48E-05,6.18E-05,1960/3690/54567/654/6347/3586/3164/7422,8,EGR3/ITGB3/DLL4/BMP6/CCL2/IL10/NR4A1/VEGFA
GO:0070371,ERK1 and ERK2 cascade,Oct-97,300/18842,0.033333333,6.474914089,6.876299231,3.34E-06,0.000107237,7.81E-05,6714/10135/467/3690/3624/1236/3084/57007/1843/7422,10,SRC/NAMPT/ATF3/ITGB3/INHBA/CCR7/NRG1/ACKR3/DUSP1/VEGFA
GO:0035924,cellular response to vascular endothelial growth factor stimulus,Jun-97,81/18842,0.074074074,14.38869798,8.686563166,3.79E-06,0.000117761,8.58E-05,1960/3690/54567/7412/3164/7422,6,EGR3/ITGB3/DLL4/VCAM1/NR4A1/VEGFA
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,Nov-97,377/18842,0.029177719,5.667696683,6.585575993,3.80E-06,0.000117761,8.58E-05,10563/29126/6775/259307/9021/958/3586/10148/941/3554/3456,11,CXCL13/CD274/STAT4/IL4I1/SOCS3/CD40/IL10/EBI3/CD80/IL1R1/IFNB1
